date,bird_sp,no_fruits,visit_lenght_s,method,bodymass,bodymass.sd,gape_width,gape_width.sd,diet
2019-11-26,Sylvia melanocephala,1,29,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-26,Chloris chloris,5,466,full_plant,23.4,NA,9,NA,SP
2019-11-26,Erithacus rubecula,1,29,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-26,Erithacus rubecula,1,51,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-26,Erithacus rubecula,4,57,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-26,Erithacus rubecula,5,56,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-26,Sylvia melanocephala,5,31,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-02,Erithacus rubecula,3,87,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-02,Erithacus rubecula,2,147,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-02,Erithacus rubecula,1,18,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-02,Erithacus rubecula,1,43,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-03,Sylvia undata,3,55,full_plant,9.05,0.8488554385497895,5.61,0.1969207398365592,SD
2019-12-03,Sylvia melanocephala,1,157,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Erithacus rubecula,2,45,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-03,Sylvia melanocephala,1,25,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Erithacus rubecula,1,50,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-03,Sylvia melanocephala,2,140,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Erithacus rubecula,3,341,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-03,Sylvia melanocephala,3,152,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Sylvia melanocephala,3,243,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Sylvia melanocephala,5,119,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Erithacus rubecula,3,273,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-12-03,Sylvia melanocephala,1,50,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-12-03,Sylvia melanocephala,1,20,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
